"date","count","year","month","month_num","weekday","is_weekend"
2024-11-11,651,2024,"November",11,"Monday",FALSE
2024-11-12,742,2024,"November",11,"Tuesday",FALSE
2024-11-13,736,2024,"November",11,"Wednesday",FALSE
2024-11-14,685,2024,"November",11,"Thursday",FALSE
2024-11-15,619,2024,"November",11,"Friday",FALSE
2024-11-16,113,2024,"November",11,"Saturday",TRUE
2024-11-17,123,2024,"November",11,"Sunday",TRUE
2024-11-18,528,2024,"November",11,"Monday",FALSE
2024-11-19,504,2024,"November",11,"Tuesday",FALSE
2024-11-20,479,2024,"November",11,"Wednesday",FALSE
2024-11-21,444,2024,"November",11,"Thursday",FALSE
2024-11-22,372,2024,"November",11,"Friday",FALSE
2024-11-23,56,2024,"November",11,"Saturday",TRUE
2024-11-24,54,2024,"November",11,"Sunday",TRUE
2024-11-25,481,2024,"November",11,"Monday",FALSE
2024-11-26,422,2024,"November",11,"Tuesday",FALSE
2024-11-27,395,2024,"November",11,"Wednesday",FALSE
2024-11-28,385,2024,"November",11,"Thursday",FALSE
2024-11-29,323,2024,"November",11,"Friday",FALSE
2024-11-30,66,2024,"November",11,"Saturday",TRUE
2024-12-01,123,2024,"December",12,"Sunday",TRUE
2024-12-02,481,2024,"December",12,"Monday",FALSE
2024-12-03,447,2024,"December",12,"Tuesday",FALSE
2024-12-04,414,2024,"December",12,"Wednesday",FALSE
2024-12-05,379,2024,"December",12,"Thursday",FALSE
2024-12-06,368,2024,"December",12,"Friday",FALSE
2024-12-07,76,2024,"December",12,"Saturday",TRUE
2024-12-08,98,2024,"December",12,"Sunday",TRUE
2024-12-09,478,2024,"December",12,"Monday",FALSE
2024-12-10,486,2024,"December",12,"Tuesday",FALSE
2024-12-11,442,2024,"December",12,"Wednesday",FALSE
2024-12-12,400,2024,"December",12,"Thursday",FALSE
2024-12-13,288,2024,"December",12,"Friday",FALSE
2024-12-14,79,2024,"December",12,"Saturday",TRUE
2024-12-15,46,2024,"December",12,"Sunday",TRUE
2024-12-16,268,2024,"December",12,"Monday",FALSE
2024-12-17,331,2024,"December",12,"Tuesday",FALSE
2024-12-18,350,2024,"December",12,"Wednesday",FALSE
2024-12-19,290,2024,"December",12,"Thursday",FALSE
2024-12-20,229,2024,"December",12,"Friday",FALSE
2024-12-21,36,2024,"December",12,"Saturday",TRUE
2024-12-22,40,2024,"December",12,"Sunday",TRUE
2024-12-23,116,2024,"December",12,"Monday",FALSE
2024-12-24,42,2024,"December",12,"Tuesday",FALSE
2024-12-25,11,2024,"December",12,"Wednesday",FALSE
2024-12-26,41,2024,"December",12,"Thursday",FALSE
2024-12-27,83,2024,"December",12,"Friday",FALSE
2024-12-28,46,2024,"December",12,"Saturday",TRUE
2024-12-29,27,2024,"December",12,"Sunday",TRUE
2024-12-30,29,2024,"December",12,"Monday",FALSE
2024-12-31,25,2024,"December",12,"Tuesday",FALSE
2025-01-01,26,2025,"January",1,"Wednesday",FALSE
2025-01-02,124,2025,"January",1,"Thursday",FALSE
2025-01-03,90,2025,"January",1,"Friday",FALSE
2025-01-04,17,2025,"January",1,"Saturday",TRUE
2025-01-05,21,2025,"January",1,"Sunday",TRUE
2025-01-06,308,2025,"January",1,"Monday",FALSE
2025-01-07,301,2025,"January",1,"Tuesday",FALSE
2025-01-08,280,2025,"January",1,"Wednesday",FALSE
