date,count,station_id,station_name,year,month,month_num,weekday,is_weekend
2024-11-11,476,95507B2418805,Rotvollekra - sykkel,2024,November,11,Monday,FALSE
2024-11-12,511,95507B2418805,Rotvollekra - sykkel,2024,November,11,Tuesday,FALSE
2024-11-13,494,95507B2418805,Rotvollekra - sykkel,2024,November,11,Wednesday,FALSE
2024-11-14,432,95507B2418805,Rotvollekra - sykkel,2024,November,11,Thursday,FALSE
2024-11-15,422,95507B2418805,Rotvollekra - sykkel,2024,November,11,Friday,FALSE
2024-11-16,69,95507B2418805,Rotvollekra - sykkel,2024,November,11,Saturday,TRUE
2024-11-17,41,95507B2418805,Rotvollekra - sykkel,2024,November,11,Sunday,TRUE
2024-11-18,394,95507B2418805,Rotvollekra - sykkel,2024,November,11,Monday,FALSE
2024-11-19,398,95507B2418805,Rotvollekra - sykkel,2024,November,11,Tuesday,FALSE
2024-11-20,354,95507B2418805,Rotvollekra - sykkel,2024,November,11,Wednesday,FALSE
2024-11-21,349,95507B2418805,Rotvollekra - sykkel,2024,November,11,Thursday,FALSE
2024-11-22,266,95507B2418805,Rotvollekra - sykkel,2024,November,11,Friday,FALSE
2024-11-23,42,95507B2418805,Rotvollekra - sykkel,2024,November,11,Saturday,TRUE
2024-11-24,20,95507B2418805,Rotvollekra - sykkel,2024,November,11,Sunday,TRUE
2024-11-25,419,95507B2418805,Rotvollekra - sykkel,2024,November,11,Monday,FALSE
2024-11-26,383,95507B2418805,Rotvollekra - sykkel,2024,November,11,Tuesday,FALSE
2024-11-27,353,95507B2418805,Rotvollekra - sykkel,2024,November,11,Wednesday,FALSE
2024-11-28,306,95507B2418805,Rotvollekra - sykkel,2024,November,11,Thursday,FALSE
2024-11-29,284,95507B2418805,Rotvollekra - sykkel,2024,November,11,Friday,FALSE
2024-11-30,51,95507B2418805,Rotvollekra - sykkel,2024,November,11,Saturday,TRUE
2024-12-01,48,95507B2418805,Rotvollekra - sykkel,2024,December,12,Sunday,TRUE
2024-12-02,413,95507B2418805,Rotvollekra - sykkel,2024,December,12,Monday,FALSE
2024-12-03,368,95507B2418805,Rotvollekra - sykkel,2024,December,12,Tuesday,FALSE
2024-12-04,351,95507B2418805,Rotvollekra - sykkel,2024,December,12,Wednesday,FALSE
2024-12-05,333,95507B2418805,Rotvollekra - sykkel,2024,December,12,Thursday,FALSE
2024-12-06,290,95507B2418805,Rotvollekra - sykkel,2024,December,12,Friday,FALSE
2024-12-07,57,95507B2418805,Rotvollekra - sykkel,2024,December,12,Saturday,TRUE
2024-12-08,38,95507B2418805,Rotvollekra - sykkel,2024,December,12,Sunday,TRUE
2024-12-09,400,95507B2418805,Rotvollekra - sykkel,2024,December,12,Monday,FALSE
2024-12-10,400,95507B2418805,Rotvollekra - sykkel,2024,December,12,Tuesday,FALSE
2024-12-11,363,95507B2418805,Rotvollekra - sykkel,2024,December,12,Wednesday,FALSE
2024-12-12,385,95507B2418805,Rotvollekra - sykkel,2024,December,12,Thursday,FALSE
2024-12-13,294,95507B2418805,Rotvollekra - sykkel,2024,December,12,Friday,FALSE
2024-12-14,60,95507B2418805,Rotvollekra - sykkel,2024,December,12,Saturday,TRUE
2024-12-15,37,95507B2418805,Rotvollekra - sykkel,2024,December,12,Sunday,TRUE
2024-12-16,204,95507B2418805,Rotvollekra - sykkel,2024,December,12,Monday,FALSE
2024-12-17,266,95507B2418805,Rotvollekra - sykkel,2024,December,12,Tuesday,FALSE
2024-12-18,332,95507B2418805,Rotvollekra - sykkel,2024,December,12,Wednesday,FALSE
2024-12-19,320,95507B2418805,Rotvollekra - sykkel,2024,December,12,Thursday,FALSE
2024-12-20,238,95507B2418805,Rotvollekra - sykkel,2024,December,12,Friday,FALSE
2024-12-21,50,95507B2418805,Rotvollekra - sykkel,2024,December,12,Saturday,TRUE
2024-12-22,24,95507B2418805,Rotvollekra - sykkel,2024,December,12,Sunday,TRUE
2024-12-23,89,95507B2418805,Rotvollekra - sykkel,2024,December,12,Monday,FALSE
2024-12-24,24,95507B2418805,Rotvollekra - sykkel,2024,December,12,Tuesday,FALSE
2024-12-25,15,95507B2418805,Rotvollekra - sykkel,2024,December,12,Wednesday,FALSE
2024-12-26,39,95507B2418805,Rotvollekra - sykkel,2024,December,12,Thursday,FALSE
2024-12-27,91,95507B2418805,Rotvollekra - sykkel,2024,December,12,Friday,FALSE
2024-12-28,65,95507B2418805,Rotvollekra - sykkel,2024,December,12,Saturday,TRUE
