"","id","name","lat","lon","municipality","direction_from","direction_to"
"1","95507B2418805","Rotvollekra - sykkel",63.431397,10.480342,"Trondheim","Lade","Ranheim"
"2","19527B2798733","Trikkestallen (ComEth)",63.415087,10.396736,"Trondheim","Tempe","Sentrum"
"3","03908B2426198","Svingbrua - sykkel",63.432745,10.38202,"Trondheim","Ila","Bratt<U+00F8>ra"
"4","12426B2798733","Trikkestallen",63.414982,10.396789,"Trondheim","Selsbakk","Midtbyen"
"5","46418B2616452","Elgeseter bru sykkel <U+00F8>st",63.425015,10.393928,"Trondheim","Samfundet- <U+00F8>stsiden av brua","Nidarosdomen"
"6","50284B2426199","Pirbrua sykkel - s<U+00F8>rsiden",63.438018,10.408227,"Trondheim","Bratt<U+00F8>ra","Nyhavna"
"7","29546B2798733","Trikkestallen (Otus3D)",63.415234,10.396662,"Trondheim","Tempe","Sentrum"
"8","52632B1993994","Moholt ved skiundergangen",63.41118,10.444825,"Trondheim","Moholt","Vegamot"
"9","10272B1698646","Gamle Okstadbakken - sykkel",63.384333,10.376885,"Trondheim","Heimdal","Trondheim"
"10","82732B2353931","Stavne - sykkeltavle",63.413493,10.383358,"Trondheim","Kroppan","Marienborg"
"11","10737B1969119","Tempeveien",63.402965,10.395449,"Trondheim","Tempe","Sluppen"
